,filenames,hash
0,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Blanc1.mp4,C:\Humansutdy\videos\hash_vid\619d789ede217476dc80ebb5a3d0c558.mp4
1,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Blanc2.mp4,C:\Humansutdy\videos\hash_vid\42c69c5ee87c97c357848ded693ddccf.mp4
2,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Blanc3.mp4,C:\Humansutdy\videos\hash_vid\49322174568834c1b2320420d2cfd7e2.mp4
3,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Bonfire.mp4,C:\Humansutdy\videos\hash_vid\87fd871707b769a0204b27d5b06a436d.mp4
4,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Bravia2.mp4,C:\Humansutdy\videos\hash_vid\57e078e1c1340b0dc66906d800f6fe9e.mp4
5,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Bravia3.mp4,C:\Humansutdy\videos\hash_vid\4b24a5aae09ee91191b3a403980c42fb.mp4
6,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_CargoBoat.mp4,C:\Humansutdy\videos\hash_vid\1e5290199f0c390c5f474be7bae061bd.mp4
7,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_CenterPanorama.mp4,C:\Humansutdy\videos\hash_vid\cf3eca3ef87d8aa8d1aa5a1c358153c1.mp4
8,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Chasing1.mp4,C:\Humansutdy\videos\hash_vid\f43169d74ed5b97438cd1624ef06de86.mp4
9,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Chasing3.mp4,C:\Humansutdy\videos\hash_vid\7b6788f0540ac7081b3f69fdd7999f9d.mp4
10,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Chasing4.mp4,C:\Humansutdy\videos\hash_vid\4cd0aa542a9977088cd773123a6c23d5.mp4
11,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_CourtYard.mp4,C:\Humansutdy\videos\hash_vid\225284995c0f0a248c02948e957aea1d.mp4
12,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Daylight1.mp4,C:\Humansutdy\videos\hash_vid\385ce3babd50b6d98672d3749c0b2f8e.mp4
13,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Fizzle1.mp4,C:\Humansutdy\videos\hash_vid\b753fad9371efb13657b148ba3e54b23.mp4
14,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Fizzle2.mp4,C:\Humansutdy\videos\hash_vid\ac086991db2954f0ac17d2c8d411f8cf.mp4
15,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Flowers.mp4,C:\Humansutdy\videos\hash_vid\4fe30724d19abf7cb7245e38cdb7e0c0.mp4
16,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Furniture.mp4,C:\Humansutdy\videos\hash_vid\29dc35cc32e5bc0aabc282a67a266bee.mp4
17,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Light2.mp4,C:\Humansutdy\videos\hash_vid\4bf4df9fedea79483113b7b3eb38c89e.mp4
18,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Light3.mp4,C:\Humansutdy\videos\hash_vid\153bc8fded547356ce98a82b43b2d03e.mp4
19,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Light4.mp4,C:\Humansutdy\videos\hash_vid\88aebca1228f9c4dee6ce61c2e17b174.mp4
20,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_NewYork1.mp4,C:\Humansutdy\videos\hash_vid\7ac1a266e858607f2c4fdd853cdad810.mp4
21,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_NewYork2.mp4,C:\Humansutdy\videos\hash_vid\34943e7b4fe049b94dce3ebcc645a9f1.mp4
22,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_NighTraffic.mp4,C:\Humansutdy\videos\hash_vid\2ad2160c1db0f87e54047d718e9ec7ad.mp4
23,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_OfficeBuilding.mp4,C:\Humansutdy\videos\hash_vid\21ebe38ae9cc560f0e98208895385c2e.mp4
24,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Porsche.mp4,C:\Humansutdy\videos\hash_vid\2f5cca65f29a24bde75cfe5de9b9b161.mp4
25,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Skyscraper.mp4,C:\Humansutdy\videos\hash_vid\2b607106a76b6cae4b3de1fc3ad31c83.mp4
26,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Swordsmith1.mp4,C:\Humansutdy\videos\hash_vid\856a495d7d9fd58175e130d3f2b9b40f.mp4
27,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Swordsmith2.mp4,C:\Humansutdy\videos\hash_vid\3ad7e6c3751556f2449ee75dad72f54f.mp4
28,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_UrbanLandmark.mp4,C:\Humansutdy\videos\hash_vid\cbf560148e55de1bdb3072106085b6f0.mp4
29,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Whale.mp4,C:\Humansutdy\videos\hash_vid\e3e3e2aa60f4b1a0f6aea15dde174854.mp4
30,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_firework.mp4,C:\Humansutdy\videos\hash_vid\ef056472723cb06c72b970558daca25e.mp4
31,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football1.mp4,C:\Humansutdy\videos\hash_vid\f9faf66f5ed3d2cc5274c7b11bf36546.mp4
32,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football10.mp4,C:\Humansutdy\videos\hash_vid\7348d4f873929c9c6e024f850fdc626b.mp4
33,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football2.mp4,C:\Humansutdy\videos\hash_vid\2cb9a41f4c067355f6a040209b7dbd00.mp4
34,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football3.mp4,C:\Humansutdy\videos\hash_vid\b8a2d603aba6426a4cd9e83c543c7a9c.mp4
35,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football4.mp4,C:\Humansutdy\videos\hash_vid\dfb87a2088fbe6ad87d78658d34151ce.mp4
36,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football5.mp4,C:\Humansutdy\videos\hash_vid\a2d0fd8da9df3f989bfc1d8a936251aa.mp4
37,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football6.mp4,C:\Humansutdy\videos\hash_vid\6639438c7f79fd99ba993aa807ddecff.mp4
38,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football7.mp4,C:\Humansutdy\videos\hash_vid\9684aca733a040e72af4a655afa80be3.mp4
39,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football8.mp4,C:\Humansutdy\videos\hash_vid\db89e95e2efd422b33369f5f52b03ea8.mp4
40,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football9.mp4,C:\Humansutdy\videos\hash_vid\56699541e490c1444ea2189392c21d5a.mp4
41,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_golf1.mp4,C:\Humansutdy\videos\hash_vid\ec399080d75425462e976b32a5de6d03.mp4
42,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_golf2.mp4,C:\Humansutdy\videos\hash_vid\cbde926c9f62dd90aeec58d39e1eaecf.mp4
43,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Blanc1.mp4,C:\Humansutdy\videos\hash_vid\e33d8467c3bd3c69536f6d48ea50c1f8.mp4
44,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Blanc2.mp4,C:\Humansutdy\videos\hash_vid\fafd4d7bd75f4e77c9c7aa93b68d049b.mp4
45,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Blanc3.mp4,C:\Humansutdy\videos\hash_vid\dad357620e7ccd377681f1e6db58bac7.mp4
46,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Bonfire.mp4,C:\Humansutdy\videos\hash_vid\53a37abae14215e1f42a4906ed780a22.mp4
47,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Bravia2.mp4,C:\Humansutdy\videos\hash_vid\766c29c4e05d6c9dd3734476abc9a945.mp4
48,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Bravia3.mp4,C:\Humansutdy\videos\hash_vid\c020feaded5c7c9ab1a2c58dad8997d8.mp4
49,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_CargoBoat.mp4,C:\Humansutdy\videos\hash_vid\7ee521b975fe36539f13706d4fbc02e1.mp4
50,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_CenterPanorama.mp4,C:\Humansutdy\videos\hash_vid\65bf67040cdb3d2d2b25ad301e72c714.mp4
51,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Chasing1.mp4,C:\Humansutdy\videos\hash_vid\03a673d202731d66f71b1b5577e9269c.mp4
52,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Chasing3.mp4,C:\Humansutdy\videos\hash_vid\75df5e8e25e06854a43905d1e96a8a85.mp4
53,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Chasing4.mp4,C:\Humansutdy\videos\hash_vid\b2a95889d580bac1ace8235d1b63bbdb.mp4
54,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_CourtYard.mp4,C:\Humansutdy\videos\hash_vid\73f6d34eb59e75f82ac4a01e55c8ede2.mp4
55,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Daylight1.mp4,C:\Humansutdy\videos\hash_vid\db77758f2068bd2df2923f230e860e6c.mp4
56,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Fizzle1.mp4,C:\Humansutdy\videos\hash_vid\730175d45d48e13cb2a4f29b505fc822.mp4
57,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Fizzle2.mp4,C:\Humansutdy\videos\hash_vid\51596fdf9dc982edb7f443a507d73fd2.mp4
58,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Flowers.mp4,C:\Humansutdy\videos\hash_vid\f48dfa610761932e9d61c3f66c01ec88.mp4
59,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Furniture.mp4,C:\Humansutdy\videos\hash_vid\2210bca06c434b22a1d59941ecfcb11a.mp4
60,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Light2.mp4,C:\Humansutdy\videos\hash_vid\580b06ec62a4d4ffd427de8a82febd9f.mp4
61,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Light3.mp4,C:\Humansutdy\videos\hash_vid\d745ffd7907e96b66a5f403f31a2ffe8.mp4
62,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Light4.mp4,C:\Humansutdy\videos\hash_vid\de083e5fce7fdb1b28ec34514d483731.mp4
63,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_NewYork1.mp4,C:\Humansutdy\videos\hash_vid\10e32a4ae37586c431ed5a8768ba9528.mp4
64,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_NewYork2.mp4,C:\Humansutdy\videos\hash_vid\52f1c7cc8141cbf417f66c1df73430b4.mp4
65,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_NighTraffic.mp4,C:\Humansutdy\videos\hash_vid\7d9a5c8bef83135c36aa9c23db9435df.mp4
66,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_OfficeBuilding.mp4,C:\Humansutdy\videos\hash_vid\78641820916a517de2343815761bdf1e.mp4
67,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Porsche.mp4,C:\Humansutdy\videos\hash_vid\75919473856fef7fde1206b846e13ab9.mp4
68,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Skyscraper.mp4,C:\Humansutdy\videos\hash_vid\6e49e445a5e370ff51b21f0a62b0dc30.mp4
69,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Swordsmith1.mp4,C:\Humansutdy\videos\hash_vid\81cb70cd009de65e898f2467c1107316.mp4
70,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Swordsmith2.mp4,C:\Humansutdy\videos\hash_vid\d9b09ab4b9ac7eb6f85ca06cbe97a2d9.mp4
71,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_UrbanLandmark.mp4,C:\Humansutdy\videos\hash_vid\d3a762bfba7b95de7bf28f4dd804534c.mp4
72,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_Whale.mp4,C:\Humansutdy\videos\hash_vid\98d26a0e7c557cfcf59c09b22d582156.mp4
73,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_firework.mp4,C:\Humansutdy\videos\hash_vid\8c635819685b58c7b9a060aa31a06de7.mp4
74,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football1.mp4,C:\Humansutdy\videos\hash_vid\bff75bbaa5ba10a2c29a1e2fce32947c.mp4
75,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football10.mp4,C:\Humansutdy\videos\hash_vid\1c65e3f2ea475f2e85f93a383c4ba8cd.mp4
76,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football2.mp4,C:\Humansutdy\videos\hash_vid\75350229ad2618bfc354ee161dddcf74.mp4
77,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football3.mp4,C:\Humansutdy\videos\hash_vid\db9611150f17bc4b965f9082aa906022.mp4
78,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football4.mp4,C:\Humansutdy\videos\hash_vid\88561054b85d249e28e7e68480c2c173.mp4
79,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football5.mp4,C:\Humansutdy\videos\hash_vid\4ec1cb723f760fefbf7b51c32c9a47b0.mp4
80,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football6.mp4,C:\Humansutdy\videos\hash_vid\02fbbbcfd47a0cfb46692e37e8447b39.mp4
81,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football7.mp4,C:\Humansutdy\videos\hash_vid\14c4e81698ec5803cf73aa38fda07351.mp4
82,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football8.mp4,C:\Humansutdy\videos\hash_vid\fb58c1283c13e2bfb706d1d391a31de0.mp4
83,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_football9.mp4,C:\Humansutdy\videos\hash_vid\953b4cde036ad0658ebd7979e3bdc527.mp4
84,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_golf1.mp4,C:\Humansutdy\videos\hash_vid\a7ab4a13670f40db83b34de41449046f.mp4
85,C:\Humansutdy\videos\all_vid\4k_cbr3Mbps_golf2.mp4,C:\Humansutdy\videos\hash_vid\e5c3068cb18882c5c0bc2ac31dec45db.mp4
86,C:\Humansutdy\videos\all_vid\reference_Blanc1.mp4,C:\Humansutdy\videos\hash_vid\638f6ba118c7641525e001c3902762c3.mp4
87,C:\Humansutdy\videos\all_vid\reference_Blanc2.mp4,C:\Humansutdy\videos\hash_vid\e78ec5b05a8c8b0c72e2313e1d749524.mp4
88,C:\Humansutdy\videos\all_vid\reference_Blanc3.mp4,C:\Humansutdy\videos\hash_vid\35425587908f237023e2f097ad3664fd.mp4
89,C:\Humansutdy\videos\all_vid\reference_Bonfire.mp4,C:\Humansutdy\videos\hash_vid\f7f886e59cbb83324333d3c96d918100.mp4
90,C:\Humansutdy\videos\all_vid\reference_Bravia2.mp4,C:\Humansutdy\videos\hash_vid\c05a0bf4f10a36fcda4062d09f02728c.mp4
91,C:\Humansutdy\videos\all_vid\reference_Bravia3.mp4,C:\Humansutdy\videos\hash_vid\c2380bac39fff0c0dbae3d6c647adcbd.mp4
92,C:\Humansutdy\videos\all_vid\reference_CargoBoat.mp4,C:\Humansutdy\videos\hash_vid\ef8e67cb99134632e4359d72557e4347.mp4
93,C:\Humansutdy\videos\all_vid\reference_CenterPanorama.mp4,C:\Humansutdy\videos\hash_vid\d6cbf1066f970f200e898c6105d2de4a.mp4
94,C:\Humansutdy\videos\all_vid\reference_Chasing1.mp4,C:\Humansutdy\videos\hash_vid\318f72d07db9fa50ab0f931e9476d56f.mp4
95,C:\Humansutdy\videos\all_vid\reference_Chasing3.mp4,C:\Humansutdy\videos\hash_vid\bcb5485661baf5162c2890157dd626b4.mp4
96,C:\Humansutdy\videos\all_vid\reference_Chasing4.mp4,C:\Humansutdy\videos\hash_vid\02b432a73262e3b3506446cf0649c732.mp4
97,C:\Humansutdy\videos\all_vid\reference_CourtYard.mp4,C:\Humansutdy\videos\hash_vid\5975620c6406438655b1568264d4ddf5.mp4
98,C:\Humansutdy\videos\all_vid\reference_Daylight1.mp4,C:\Humansutdy\videos\hash_vid\100be7711d8917d9cb4dd5ea33fa8fd5.mp4
99,C:\Humansutdy\videos\all_vid\reference_Fizzle1.mp4,C:\Humansutdy\videos\hash_vid\b6bd64a7159a1e5bbdbd79fc2f957aaf.mp4
100,C:\Humansutdy\videos\all_vid\reference_Fizzle2.mp4,C:\Humansutdy\videos\hash_vid\56bd311cc75c34ab26245f8f962fb5cc.mp4
101,C:\Humansutdy\videos\all_vid\reference_Flowers.mp4,C:\Humansutdy\videos\hash_vid\9b2d334db05f772dde69494f6f147c7c.mp4
102,C:\Humansutdy\videos\all_vid\reference_Furniture.mp4,C:\Humansutdy\videos\hash_vid\c66115f01f72f15762f1618ae6c8d527.mp4
103,C:\Humansutdy\videos\all_vid\reference_Light2.mp4,C:\Humansutdy\videos\hash_vid\5d1f495b6e087208d9f38d39bfbc4753.mp4
104,C:\Humansutdy\videos\all_vid\reference_Light3.mp4,C:\Humansutdy\videos\hash_vid\4be11705cd639731db62ff3a04eae97f.mp4
105,C:\Humansutdy\videos\all_vid\reference_Light4.mp4,C:\Humansutdy\videos\hash_vid\bceb7a2a0fd3cb155722472c258abe00.mp4
106,C:\Humansutdy\videos\all_vid\reference_NewYork1.mp4,C:\Humansutdy\videos\hash_vid\d819527092108357bdc51b0796c27770.mp4
107,C:\Humansutdy\videos\all_vid\reference_NewYork2.mp4,C:\Humansutdy\videos\hash_vid\32c4c798aef3dcec6a5ea324eb7230d9.mp4
108,C:\Humansutdy\videos\all_vid\reference_NighTraffic.mp4,C:\Humansutdy\videos\hash_vid\773d1cfc8071f4a2b85d3d1e3f25a515.mp4
109,C:\Humansutdy\videos\all_vid\reference_OfficeBuilding.mp4,C:\Humansutdy\videos\hash_vid\2597aa3c8373d4445cc73694c0f51379.mp4
110,C:\Humansutdy\videos\all_vid\reference_Porsche.mp4,C:\Humansutdy\videos\hash_vid\6387022c48ba1ed88d1437e947deec7c.mp4
111,C:\Humansutdy\videos\all_vid\reference_Skyscraper.mp4,C:\Humansutdy\videos\hash_vid\9651db0d222549410bc61db6da8777fb.mp4
112,C:\Humansutdy\videos\all_vid\reference_Swordsmith1.mp4,C:\Humansutdy\videos\hash_vid\f037d0cb2ba04c73c906468c0a2da718.mp4
113,C:\Humansutdy\videos\all_vid\reference_Swordsmith2.mp4,C:\Humansutdy\videos\hash_vid\076d5ec3a220112d8a8771922c2b51d1.mp4
114,C:\Humansutdy\videos\all_vid\reference_UrbanLandmark.mp4,C:\Humansutdy\videos\hash_vid\f36ede3d444ac42fc43cdd79a56d669b.mp4
115,C:\Humansutdy\videos\all_vid\reference_Whale.mp4,C:\Humansutdy\videos\hash_vid\007baa37ecfdb4e07b17d6c7a549b34f.mp4
116,C:\Humansutdy\videos\all_vid\reference_firework.mp4,C:\Humansutdy\videos\hash_vid\e5a98a5008e96f37fdf40796a0cb312c.mp4
117,C:\Humansutdy\videos\all_vid\reference_football1.mp4,C:\Humansutdy\videos\hash_vid\d03899e3e62da523ff7312ab24ad11fc.mp4
118,C:\Humansutdy\videos\all_vid\reference_football10.mp4,C:\Humansutdy\videos\hash_vid\d0c4d8d20182e00bc45e06763eb0ad19.mp4
119,C:\Humansutdy\videos\all_vid\reference_football2.mp4,C:\Humansutdy\videos\hash_vid\cbddf2c31a5703803ae872b7dd0c41ac.mp4
120,C:\Humansutdy\videos\all_vid\reference_football3.mp4,C:\Humansutdy\videos\hash_vid\e7a7fcaa1083545af79ba449106af19c.mp4
121,C:\Humansutdy\videos\all_vid\reference_football4.mp4,C:\Humansutdy\videos\hash_vid\ef337a220d2b6557737c741d227aaf2b.mp4
122,C:\Humansutdy\videos\all_vid\reference_football5.mp4,C:\Humansutdy\videos\hash_vid\e520303ff4110ebc60f92c283ca7690d.mp4
123,C:\Humansutdy\videos\all_vid\reference_football6.mp4,C:\Humansutdy\videos\hash_vid\8dcb9fa14af794d0a3fca8224bb6f22d.mp4
124,C:\Humansutdy\videos\all_vid\reference_football7.mp4,C:\Humansutdy\videos\hash_vid\cbb8fcb11c82d0e41ae16fb7c191a3ea.mp4
125,C:\Humansutdy\videos\all_vid\reference_football8.mp4,C:\Humansutdy\videos\hash_vid\843e82c1aab9d080e77100c9ffba8b26.mp4
126,C:\Humansutdy\videos\all_vid\reference_football9.mp4,C:\Humansutdy\videos\hash_vid\6848496037c53517b2596574646b7a2a.mp4
127,C:\Humansutdy\videos\all_vid\reference_golf1.mp4,C:\Humansutdy\videos\hash_vid\bd5923805b4ce566f5cfd461986ad2ff.mp4
128,C:\Humansutdy\videos\all_vid\reference_golf2.mp4,C:\Humansutdy\videos\hash_vid\752fa2ff78d8bf2688e3969e6c120780.mp4
129,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Blanc1.mp4,C:\Humansutdy\videos\hash_vid\5f1d696a73864b05b641f2903fac1b52.mp4
130,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Blanc2.mp4,C:\Humansutdy\videos\hash_vid\021ee58a0f30612be0a3b16d4c3036ed.mp4
131,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Blanc3.mp4,C:\Humansutdy\videos\hash_vid\8064644461c84f8ece3bdabfa30317b0.mp4
132,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Bonfire.mp4,C:\Humansutdy\videos\hash_vid\031011a3041ca901e84f94e0be3508ae.mp4
133,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Bravia2.mp4,C:\Humansutdy\videos\hash_vid\756cf2706bcbd083979c4b4de8038dbf.mp4
134,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Bravia3.mp4,C:\Humansutdy\videos\hash_vid\6a7c9a0e47d687388193b95701b68aeb.mp4
135,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_CargoBoat.mp4,C:\Humansutdy\videos\hash_vid\852f88149bb8c91a4ea900f817e66c88.mp4
136,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_CenterPanorama.mp4,C:\Humansutdy\videos\hash_vid\9a346ed056be2e842aeee5ddb3d25235.mp4
137,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Chasing1.mp4,C:\Humansutdy\videos\hash_vid\81cb2a1b2b188ba475df1c29fff11373.mp4
138,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Chasing3.mp4,C:\Humansutdy\videos\hash_vid\c57c78421de9e0da03274ba0de534cd9.mp4
139,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Chasing4.mp4,C:\Humansutdy\videos\hash_vid\ee0a3a521773978f02a3f50d79c83922.mp4
140,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_CourtYard.mp4,C:\Humansutdy\videos\hash_vid\7915819b4eb2f449740e4ef38b4d4379.mp4
141,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Daylight1.mp4,C:\Humansutdy\videos\hash_vid\ee66bbc5e87d743219ad9396990a9f27.mp4
142,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Fizzle1.mp4,C:\Humansutdy\videos\hash_vid\55cea52e538341af61431f1083bb97f3.mp4
143,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Fizzle2.mp4,C:\Humansutdy\videos\hash_vid\47257466990930c622cf872c626b9058.mp4
144,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Flowers.mp4,C:\Humansutdy\videos\hash_vid\ba217965b75bdfeeb7d4276f4deece27.mp4
145,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Furniture.mp4,C:\Humansutdy\videos\hash_vid\87e6dcce0176f1058e37bca83450d054.mp4
146,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Light2.mp4,C:\Humansutdy\videos\hash_vid\8600451f09e9a0724c652db1d3a923a9.mp4
147,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Light3.mp4,C:\Humansutdy\videos\hash_vid\7932ee2e852384c33d00d3192e3c6ef1.mp4
148,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Light4.mp4,C:\Humansutdy\videos\hash_vid\4c1d105672c443fdce381706429148e1.mp4
149,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_NewYork1.mp4,C:\Humansutdy\videos\hash_vid\18b6dacc90f5c87182bbfe493acce7af.mp4
150,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_NewYork2.mp4,C:\Humansutdy\videos\hash_vid\01a8f1ad913e3dfce34042191593de38.mp4
151,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_NighTraffic.mp4,C:\Humansutdy\videos\hash_vid\362857a6c9c0c47c2d168dbaf47ebba1.mp4
152,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_OfficeBuilding.mp4,C:\Humansutdy\videos\hash_vid\a32f6cd13c1f5c09449f6c4b971493b6.mp4
153,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Porsche.mp4,C:\Humansutdy\videos\hash_vid\9ce045d5569aee8c4e2ff61a8aad9679.mp4
154,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Skyscraper.mp4,C:\Humansutdy\videos\hash_vid\6a13920138fc40c5f1efcb351b531129.mp4
155,C:\Humansutdy\videos\all_vid\upscaled_1080p_1Mbps_Swordsmith1.mp4,C:\Humansutdy\videos\hash_vid\432a918e7c4aaef0ab16dae5a492eb6a.mp4
