,video,mos,content,codec,fr,res,bitrate,dmos
186,Cricket2_HEVC_SFR_720p_2200K_120,57.29251571428573,Cricket2_120,HEVC,SFR,720p,2200,-4.212702285714286
187,USOpen_AVC_HFR_396p_900K_176,46.81862764285713,USOpen_176,AVC,HFR,396p,900,-26.954401171957677
188,EPLNight_AVC_HFR_288p_300K_20,34.45382264285714,EPLNight_20,AVC,HFR,288p,300,-43.92803675
189,USOpen_AVC_SFR_540p_1800K_176,53.680140535714294,USOpen_176,AVC,SFR,540p,1800,-20.092888279100514
190,EPLNight_AVC_SFR_720p_2000K_20,61.64819899999999,EPLNight_20,AVC,SFR,720p,2000,-16.733660392857146
191,EPLDay_AVC_HFR_396p_600K_48,41.80653782142857,EPLDay_48,AVC,HFR,396p,600,-32.37456139285714
192,USOpen_HEVC_SFR_720p_2200K_176,62.616022464285706,USOpen_176,HEVC,SFR,720p,2200,-11.157006350529102
193,Cricket2_AVC_HFR_540p_1900K_120,51.03987750000001,Cricket2_120,AVC,HFR,540p,1900,-10.465340500000003
194,EPLNight_AVC_SFR_540p_1200K_20,52.969865285714285,EPLNight_20,AVC,SFR,540p,1200,-25.411994107142853
195,USOpen_HEVC_SFR_540p_1900K_176,57.74019675,USOpen_176,HEVC,SFR,540p,1900,-16.032832064814805
196,Cricket2_HEVC_SFR_396p_600K_120,45.76002564285715,Cricket2_120,HEVC,SFR,396p,600,-15.745192357142862
197,EPLNight_AVC_SFR_540p_1800K_20,55.533356964285716,EPLNight_20,AVC,SFR,540p,1800,-22.84850242857142
198,Cricket2_AVC_SFR_540p_1200K_120,49.604230821428565,Cricket2_120,AVC,SFR,540p,1200,-11.900987178571448
199,USOpen_HEVC_SFR_396p_600K_176,48.282485821428565,USOpen_176,HEVC,SFR,396p,600,-25.490542993386242
200,EPLDay_HEVC_HFR_396p_900K_48,44.37020042857143,EPLDay_48,HEVC,HFR,396p,900,-29.81089878571428
201,Cricket2_HEVC_HFR_288p_300K_120,33.26384921428571,Cricket2_120,HEVC,HFR,288p,300,-28.2413687857143
202,EPLDay_AVC_SFR_720p_2000K_48,63.080566000000005,EPLDay_48,AVC,SFR,720p,2000,-11.100533214285704
203,Cricket2_AVC_SFR_288p_200K_120,30.17583817857143,Cricket2_120,AVC,SFR,288p,200,-31.329379821428585
204,TNFF_HEVC_HFR_396p_900K_304,43.955741428571436,TNFF_304,HEVC,HFR,396p,900,-26.132515607142842
205,Cricket2_HEVC_SFR_540p_1100K_120,52.86969271428571,Cricket2_120,HEVC,SFR,540p,1100,-8.635525285714301
206,EPLNight_AVC_HFR_720p_2200K_20,65.99971000000001,EPLNight_20,AVC,HFR,720p,2200,-12.38214939285713
207,EPLDay_AVC_SFR_396p_800K_48,47.48222054166666,EPLDay_48,AVC,SFR,396p,800,-26.698878672619045
208,EPLNight_HEVC_SFR_288p_300K_20,35.18055325,EPLNight_20,HEVC,SFR,288p,300,-43.201306142857135
210,EPLDay_AVC_SFR_540p_1800K_48,54.22769710714285,EPLDay_48,AVC,SFR,540p,1800,-19.953402107142857
211,Cricket2_HEVC_SFR_288p_300K_120,36.43860064285714,Cricket2_120,HEVC,SFR,288p,300,-25.066617357142874
212,EPLDay_AVC_HFR_540p_1300K_48,54.19487457142857,EPLDay_48,AVC,HFR,540p,1300,-19.986224642857138
213,TNFF_HEVC_SFR_540p_1100K_304,57.69970225000001,TNFF_304,HEVC,SFR,540p,1100,-12.38855478571427
214,USOpen_HEVC_HFR_540p_1100K_176,53.926779107142856,USOpen_176,HEVC,HFR,540p,1100,-19.84624970767195
215,TNFF_HEVC_SFR_288p_300K_304,32.621873375,TNFF_304,HEVC,SFR,288p,300,-37.46638366071428
216,Cricket2_AVC_SFR_720p_2000K_120,52.72325935714285,Cricket2_120,AVC,SFR,720p,2000,-8.781958642857163
217,EPLNight_AVC_HFR_396p_900K_20,47.34719067857143,EPLNight_20,AVC,HFR,396p,900,-31.034668714285708
218,USOpen_AVC_SFR_396p_400K_176,41.81528264285714,USOpen_176,AVC,SFR,396p,400,-31.957746171957666
219,EPLNight_HEVC_HFR_720p_2200K_20,64.13888439285715,EPLNight_20,HEVC,HFR,720p,2200,-14.242974999999987
220,TNFF_HEVC_SFR_540p_1900K_304,58.41455383214286,TNFF_304,HEVC,SFR,540p,1900,-11.67370320357142
221,EPLNight_HEVC_HFR_540p_1100K_20,55.28298592857142,EPLNight_20,HEVC,HFR,540p,1100,-23.098873464285717
222,EPLDay_HEVC_HFR_540p_1100K_48,55.86629607142857,EPLDay_48,HEVC,HFR,540p,1100,-18.314803142857137
223,USOpen_AVC_HFR_540p_1900K_176,53.57357853571428,USOpen_176,AVC,HFR,540p,1900,-20.199450279100525
224,EPLDay_HEVC_SFR_540p_1100K_48,50.64208960714285,EPLDay_48,HEVC,SFR,540p,1100,-23.53900960714286
225,Cricket2_HEVC_HFR_720p_2200K_120,55.8601625,Cricket2_120,HEVC,HFR,720p,2200,-5.645055500000012
226,EPLDay_HEVC_SFR_540p_1900K_48,54.299295392857154,EPLDay_48,HEVC,SFR,540p,1900,-19.881803821428555
227,TNFF_AVC_HFR_540p_1300K_304,50.816343285714304,TNFF_304,AVC,HFR,540p,1300,-19.271913749999975
228,USOpen_AVC_SFR_720p_2000K_176,60.51952892857141,USOpen_176,AVC,SFR,720p,2000,-13.253499886243397
229,EPLNight_HEVC_SFR_720p_2200K_20,64.61642539285714,EPLNight_20,HEVC,SFR,720p,2200,-13.765433999999999
230,EPLDay_HEVC_SFR_396p_600K_48,46.28124032142857,EPLDay_48,HEVC,SFR,396p,600,-27.89985889285714
231,Cricket2_AVC_HFR_540p_1300K_120,47.64887925,Cricket2_120,AVC,HFR,540p,1300,-13.856338750000013
232,USOpen_HEVC_HFR_288p_300K_176,36.792378035714286,USOpen_176,HEVC,HFR,288p,300,-36.98065077910052
233,TNFF_HEVC_SFR_396p_600K_304,45.39586839285714,TNFF_304,HEVC,SFR,396p,600,-24.69238864285714
234,Cricket2_AVC_HFR_396p_900K_120,45.61862478571429,Cricket2_120,AVC,HFR,396p,900,-15.886593214285725
235,EPLDay_HEVC_HFR_720p_2200K_48,64.94516739285714,EPLDay_48,HEVC,HFR,720p,2200,-9.235931821428565
237,EPLDay_HEVC_SFR_288p_300K_48,37.16591296428572,EPLDay_48,HEVC,SFR,288p,300,-37.01518624999999
238,EPLNight_HEVC_HFR_540p_1900K_20,56.72069835714286,EPLNight_20,HEVC,HFR,540p,1900,-21.66116103571428
239,TNFF_HEVC_HFR_396p_600K_304,36.75802289285715,TNFF_304,HEVC,HFR,396p,600,-33.33023414285713
240,EPLNight_HEVC_HFR_396p_900K_20,47.910870964285714,EPLNight_20,HEVC,HFR,396p,900,-30.470988428571424
241,TNFF_AVC_HFR_288p_300K_304,29.47543685,TNFF_304,AVC,HFR,288p,300,-40.61282018571428
242,Cricket2_HEVC_SFR_540p_1900K_120,54.427150964285715,Cricket2_120,HEVC,SFR,540p,1900,-7.078067035714298
243,TNFF_AVC_SFR_396p_400K_304,39.50901232142858,TNFF_304,AVC,SFR,396p,400,-30.5792447142857
244,EPLNight_HEVC_SFR_396p_900K_20,49.40166267857143,EPLNight_20,HEVC,SFR,396p,900,-28.98019671428571
245,USOpen_AVC_SFR_540p_1200K_176,52.235322214285716,USOpen_176,AVC,SFR,540p,1200,-21.53770660052909
246,TNFF_HEVC_SFR_396p_900K_304,47.014259749999994,TNFF_304,HEVC,SFR,396p,900,-23.073997285714285
247,EPLDay_HEVC_HFR_396p_600K_48,42.139569107142854,EPLDay_48,HEVC,HFR,396p,600,-32.041530107142854
248,Cricket2_AVC_HFR_288p_300K_120,36.226991035714285,Cricket2_120,AVC,HFR,288p,300,-25.27822696428573
249,USOpen_AVC_HFR_540p_1300K_176,56.53087907142857,USOpen_176,AVC,HFR,540p,1300,-17.242149743386236
250,EPLDay_AVC_HFR_540p_1900K_0,50.666054137931035,EPLDay_0,AVC,HFR,540p,1900,-3.6980374646086887
251,Cricket1_HEVC_SFR_396p_900K_86,54.58501513793104,Cricket1_86,HEVC,SFR,396p,900,0.4516896304125453
252,EPLDay_HEVC_HFR_288p_300K_8,49.359348628738616,EPLDay_8,HEVC,HFR,288p,300,-6.743325289784472
253,USOpen_AVC_SFR_540p_1800K_0,48.23642978434014,USOpen_0,AVC,SFR,540p,1800,-5.021989540339774
254,EPLDay_HEVC_HFR_396p_900K_8,45.45318697681996,EPLDay_8,HEVC,HFR,396p,900,-10.649486941703131
255,TNFNFL_AVC_SFR_540p_1200K_0,46.65608460010045,TNFNFL_0,AVC,SFR,540p,1200,-7.150610204076209
256,EPLDay_AVC_HFR_540p_1900K_8,51.352421062242044,EPLDay_8,AVC,HFR,540p,1900,-4.750252856281044
257,Cricket1_AVC_HFR_720p_2200K_86,51.858348520103796,Cricket1_86,AVC,HFR,720p,2200,-2.2749769874146963
259,USOpen_HEVC_SFR_540p_1100K_166,55.35178544217993,USOpen_166,HEVC,SFR,540p,1100,1.206955996458376
260,EPLDay_HEVC_SFR_720p_2200K_8,47.40031094311116,EPLDay_8,HEVC,SFR,720p,2200,-8.70236297541193
261,TNFF_HEVC_HFR_396p_900K_144,50.12525156156557,TNFF_144,HEVC,HFR,396p,900,-1.7470962501293172
262,Cricket1_HEVC_HFR_720p_2200K_86,48.315614236281775,Cricket1_86,HEVC,HFR,720p,2200,-5.817711271236718
263,TNFF_AVC_HFR_540p_1900K_16,50.85052686497682,TNFF_16,AVC,HFR,540p,1900,-2.1257369287440255
264,TNFF_AVC_SFR_540p_1200K_144,51.75755933915226,TNFF_144,AVC,SFR,540p,1200,-0.11478847254262803
265,TNFNFL_HEVC_HFR_396p_600K_0,44.48581499606917,TNFNFL_0,HEVC,HFR,396p,600,-9.320879808107485
266,EPLDay_HEVC_HFR_540p_1100K_8,54.738660427038226,EPLDay_8,HEVC,HFR,540p,1100,-1.3640134914848616
267,Cricket1_AVC_SFR_396p_800K_86,44.864481753034084,Cricket1_86,AVC,SFR,396p,800,-9.268843754484408
268,USOpen_AVC_HFR_396p_600K_0,45.07116086134398,USOpen_0,AVC,HFR,396p,600,-8.187258463335937
269,EPLDay_HEVC_SFR_288p_300K_0,45.095717046865246,EPLDay_0,HEVC,SFR,288p,300,-9.268374555674477
270,TNFF_HEVC_HFR_720p_2200K_144,49.14695669399548,TNFF_144,HEVC,HFR,720p,2200,-2.7253911176994094
271,USOpen_AVC_HFR_540p_1300K_0,49.52366685343713,USOpen_0,AVC,HFR,540p,1300,-3.7347524712427855
272,TNFF_AVC_SFR_396p_800K_16,52.03839918864593,TNFF_16,AVC,SFR,396p,800,-0.937864605074914
273,USOpen_AVC_SFR_288p_200K_0,44.67213914876588,USOpen_0,AVC,SFR,288p,200,-8.586280175914034
274,EPLDay_AVC_SFR_540p_1800K_8,45.33018982801064,EPLDay_8,AVC,SFR,540p,1800,-10.77248409051245
275,TNFNFL_AVC_SFR_396p_400K_0,50.073176644365546,TNFNFL_0,AVC,SFR,396p,400,-3.733518159811112
276,EPLNight_AVC_SFR_720p_2000K_0,54.9892221724138,EPLNight_0,AVC,SFR,720p,2000,2.2104186103448384
277,TNFNFL_AVC_HFR_540p_1900K_0,49.29923635343713,TNFNFL_0,AVC,HFR,540p,1900,-4.507458450739527
278,EPLNight_AVC_SFR_288p_200K_0,45.24329111172561,EPLNight_0,AVC,SFR,288p,200,-7.535512450343347
279,TNFF_AVC_HFR_396p_600K_16,54.121667446499075,TNFF_16,AVC,HFR,396p,600,1.1454036527782279
280,Cricket2_HEVC_HFR_540p_1100K_90,48.91464724137931,Cricket2_90,HEVC,HFR,540p,1100,3.077142932260486
281,USOpen_HEVC_SFR_396p_600K_0,48.807872028193714,USOpen_0,HEVC,SFR,396p,600,-4.450547296486199
282,TNFF_HEVC_HFR_288p_300K_16,40.75250017241379,TNFF_16,HEVC,HFR,288p,300,-12.223763621307057
283,Cricket2_AVC_HFR_720p_2200K_90,51.483766900453375,Cricket2_90,AVC,HFR,720p,2200,5.646262591334548
284,USOpen_AVC_SFR_720p_2000K_166,54.57253208047731,USOpen_166,AVC,SFR,720p,2000,0.42770263475575376
285,TNFF_AVC_HFR_720p_2200K_16,53.680705425383564,TNFF_16,AVC,HFR,720p,2200,0.7044416316627178
286,EPLDay_HEVC_HFR_396p_900K_0,50.41582916433775,EPLDay_0,HEVC,HFR,396p,900,-3.948262438201972
287,TNFF_AVC_SFR_288p_200K_144,48.4359016121983,TNFF_144,AVC,SFR,288p,200,-3.4364461994965865
288,Cricket1_AVC_HFR_288p_300K_86,45.9252679201239,Cricket1_86,AVC,HFR,288p,300,-8.208057587394592
289,TNFF_AVC_SFR_396p_800K_144,45.568072829466594,TNFF_144,AVC,SFR,396p,800,-6.304274982228293
290,EPLDay_HEVC_SFR_540p_1900K_8,48.96858071252,EPLDay_8,HEVC,SFR,540p,1900,-7.134093206003087
291,Cricket2_AVC_SFR_396p_400K_90,46.53246872413794,Cricket2_90,AVC,SFR,396p,400,0.6949644150191148
292,TNFNFL_AVC_SFR_288p_200K_0,49.27783748677045,TNFNFL_0,AVC,SFR,288p,200,-4.528857317406207
293,Cricket2_HEVC_SFR_540p_1900K_90,49.88943353555522,Cricket2_90,HEVC,SFR,540p,1900,4.051929226436393
294,USOpen_AVC_HFR_540p_1300K_166,48.050935165814586,USOpen_166,AVC,HFR,540p,1300,-6.093894279906969
295,EPLDay_HEVC_SFR_396p_600K_8,45.81704947918667,EPLDay_8,HEVC,SFR,396p,600,-10.285624439336416
296,USOpen_AVC_SFR_396p_400K_166,49.09644743146376,USOpen_166,AVC,SFR,396p,400,-5.048382014257797
297,Cricket1_HEVC_HFR_396p_900K_86,42.49305165343714,Cricket1_86,HEVC,HFR,396p,900,-11.64027385408135
298,TNFF_AVC_HFR_540p_1300K_144,50.90599691897599,TNFF_144,AVC,HFR,540p,1300,-0.9663508927189
299,EPLDay_HEVC_SFR_540p_1900K_0,53.821530971126975,EPLDay_0,HEVC,SFR,540p,1900,-0.5425606314127478
300,EPLNight_HEVC_HFR_540p_1900K_0,47.42770972649551,EPLNight_0,HEVC,HFR,540p,1900,-5.351093835573451
301,Cricket2_HEVC_SFR_396p_900K_90,53.50084326895779,Cricket2_90,HEVC,SFR,396p,900,7.66333895983896
302,EPLNight_HEVC_HFR_720p_2200K_0,52.79153017241379,EPLNight_0,HEVC,HFR,720p,2200,0.01272661034483491
303,Cricket2_AVC_SFR_540p_1800K_90,51.6508413616783,Cricket2_90,AVC,SFR,540p,1800,5.813337052559476
304,TNFF_AVC_SFR_540p_1200K_16,52.77392156828384,TNFF_16,AVC,SFR,540p,1200,-0.20234222543700753
305,TNFNFL_HEVC_SFR_396p_900K_0,47.18141958953245,TNFNFL_0,HEVC,SFR,396p,900,-6.625275214644205
306,EPLDay_HEVC_HFR_396p_600K_0,50.588662004159694,EPLDay_0,HEVC,HFR,396p,600,-3.775429598380029
307,USOpen_HEVC_SFR_720p_2200K_0,51.76253212068966,USOpen_0,HEVC,SFR,720p,2200,-1.4958872039902502
308,TNFF_AVC_HFR_396p_600K_144,44.133853980786135,TNFF_144,AVC,HFR,396p,600,-7.738493830908752
309,TNFNFL_HEVC_HFR_720p_2200K_0,48.26751662008785,TNFNFL_0,HEVC,HFR,720p,2200,-5.5391781840888115
310,TNFF_AVC_HFR_540p_1300K_16,50.88188236235673,TNFF_16,AVC,HFR,540p,1300,-2.09438143136412
311,USOpen_AVC_HFR_540p_1900K_0,52.45616853483616,USOpen_0,AVC,HFR,540p,1900,-0.8022507898437539
312,EPLNight_HEVC_HFR_288p_300K_0,52.49767461411946,EPLNight_0,HEVC,HFR,288p,300,-0.2811289479494974
313,EPLDay_HEVC_HFR_720p_2200K_8,49.36198193056546,EPLDay_8,HEVC,HFR,720p,2200,-6.740691987957625
314,USOpen_AVC_SFR_540p_1200K_166,49.15768616436135,USOpen_166,AVC,SFR,540p,1200,-4.987143281360204
316,TNFF_AVC_SFR_396p_400K_16,44.16509002610369,TNFF_16,AVC,SFR,396p,400,-8.811173767617156
317,Cricket2_HEVC_SFR_288p_300K_90,47.618247979303305,Cricket2_90,HEVC,SFR,288p,300,1.7807436701844779
318,USOpen_AVC_HFR_720p_2200K_0,48.78269691411947,USOpen_0,AVC,HFR,720p,2200,-4.475722410560444
319,EPLNight_AVC_SFR_540p_1200K_0,51.26555460367576,EPLNight_0,AVC,SFR,540p,1200,-1.5132489583931985
320,USOpen_HEVC_HFR_288p_300K_0,46.399142235407176,USOpen_0,HEVC,HFR,288p,300,-6.859277089272737
321,EPLNight_HEVC_SFR_720p_2200K_0,55.44865671559618,EPLNight_0,HEVC,SFR,720p,2200,2.669853153527221
322,EPLDay_HEVC_HFR_288p_300K_0,47.98100658147069,EPLDay_0,HEVC,HFR,288p,300,-6.383085021069036
323,TNFF_HEVC_SFR_720p_2200K_144,50.54816228677045,TNFF_144,HEVC,SFR,720p,2200,-1.324185524924438
324,USOpen_HEVC_HFR_540p_1100K_0,54.92006905851643,USOpen_0,HEVC,HFR,540p,1100,1.6616497338365193
325,TNFNFL_AVC_HFR_396p_600K_0,47.33844651446607,TNFNFL_0,AVC,HFR,396p,600,-6.468248289710587
326,TNFF_HEVC_HFR_288p_300K_144,46.78459581353478,TNFF_144,HEVC,HFR,288p,300,-5.087751998160108
327,TNFF_AVC_HFR_288p_300K_16,48.59262435618869,TNFF_16,AVC,HFR,288p,300,-4.383639437532153
328,TNFF_HEVC_HFR_540p_1100K_144,52.961409425118546,TNFF_144,HEVC,HFR,540p,1100,1.0890616134236595
329,EPLNight_AVC_HFR_540p_1300K_0,48.205623659873886,EPLNight_0,AVC,HFR,540p,1300,-4.573179902195072
330,TNFF_HEVC_SFR_396p_600K_144,45.89067519880015,TNFF_144,HEVC,SFR,396p,600,-5.981672612894734
331,USOpen_HEVC_SFR_540p_1900K_166,55.66180570324445,USOpen_166,HEVC,SFR,540p,1900,1.5169762575228916
332,TNFF_AVC_HFR_396p_900K_144,48.66385094210223,TNFF_144,AVC,HFR,396p,900,-3.2084968695926577
333,TNFF_AVC_SFR_288p_200K_16,42.70967924137931,TNFF_16,AVC,SFR,288p,200,-10.266584552341534
334,USOpen_HEVC_SFR_396p_900K_166,47.94888888725404,USOpen_166,HEVC,SFR,396p,900,-6.1959405584675125
335,USOpen_AVC_SFR_396p_800K_0,48.74718182203527,USOpen_0,AVC,SFR,396p,800,-4.51123750264464
336,EPLDay_HEVC_HFR_720p_2200K_0,54.81344589655173,EPLDay_0,HEVC,HFR,720p,2200,0.44935429401200366
337,Cricket1_HEVC_HFR_540p_1100K_86,53.144760496252516,Cricket1_86,HEVC,HFR,540p,1100,-0.9885650112659761
338,USOpen_HEVC_SFR_396p_900K_0,48.12251141919305,USOpen_0,HEVC,SFR,396p,900,-5.13590790548686
339,TNFF_AVC_SFR_540p_1800K_144,49.166951261565565,TNFF_144,AVC,SFR,540p,1800,-2.705396550129322
340,USOpen_AVC_SFR_396p_400K_0,49.30453711608191,USOpen_0,AVC,SFR,396p,400,-3.953882208598003
341,TNFF_AVC_SFR_396p_400K_144,47.944397331200875,TNFF_144,AVC,SFR,396p,400,-3.9279504804940117
342,USOpen_AVC_SFR_720p_2000K_0,49.79519768677047,USOpen_0,AVC,SFR,720p,2000,-3.4632216379094416
343,EPLDay_HEVC_SFR_720p_2200K_0,53.82763677099864,EPLDay_0,HEVC,SFR,720p,2200,-0.5364548315410858
344,USOpen_AVC_HFR_288p_300K_0,52.67377599455871,USOpen_0,AVC,HFR,288p,300,-0.5846433301212031
345,EPLDay_HEVC_SFR_288p_300K_8,43.76825214540625,EPLDay_8,HEVC,SFR,288p,300,-12.334421773116837
346,Cricket2_AVC_SFR_540p_1200K_90,48.11437314644471,Cricket2_90,AVC,SFR,540p,1200,2.2768688373258854
348,Cricket1_HEVC_SFR_540p_1100K_86,50.10990401364661,Cricket1_86,HEVC,SFR,540p,1100,-4.023421493871879
349,EPLNight_HEVC_HFR_396p_600K_0,49.80599493926648,EPLNight_0,HEVC,HFR,396p,600,-2.972808622802475
350,Cricket2_HEVC_SFR_720p_2200K_90,56.118471690547146,Cricket2_90,HEVC,SFR,720p,2200,10.280967381428319
352,Cricket2_AVC_SFR_396p_800K_90,53.05987194692296,Cricket2_90,AVC,SFR,396p,800,7.222367637804133
353,USOpen_HEVC_HFR_720p_2200K_166,52.06501745343713,USOpen_166,HEVC,HFR,720p,2200,-2.0798119922844265
354,Cricket1_AVC_SFR_288p_200K_86,49.96881862691697,Cricket1_86,AVC,SFR,288p,200,-4.164506880601522
356,Cricket2_HEVC_HFR_288p_300K_90,44.95496079232701,Cricket2_90,HEVC,HFR,288p,300,-0.8825435167918201
357,TNFF_HEVC_HFR_396p_900K_16,48.00366921681426,TNFF_16,HEVC,HFR,396p,900,-4.972594576906587
358,EPLDay_HEVC_HFR_540p_1900K_0,49.818518442425486,EPLDay_0,HEVC,HFR,540p,1900,-4.5455731601142375
359,TNFF_AVC_HFR_720p_2200K_144,51.428118724137946,TNFF_144,AVC,HFR,720p,2200,-0.44422908755694124
360,Cricket2_AVC_SFR_720p_2000K_90,55.31578231034483,Cricket2_90,AVC,SFR,720p,2000,9.478278001226002
361,Cricket1_HEVC_SFR_720p_2200K_86,50.88684184047724,Cricket1_86,HEVC,SFR,720p,2200,-3.246483667041254
362,USOpen_HEVC_SFR_540p_1100K_0,52.55193323900826,USOpen_0,HEVC,SFR,540p,1100,-0.7064860856716564
363,EPLDay_HEVC_SFR_396p_900K_8,47.4569654137931,EPLDay_8,HEVC,SFR,396p,900,-8.645708504729988
364,EPLNight_HEVC_HFR_396p_900K_0,50.18778546257833,EPLNight_0,HEVC,HFR,396p,900,-2.5910180994906256
365,USOpen_HEVC_SFR_288p_300K_166,46.27617252811786,USOpen_166,HEVC,SFR,288p,300,-7.868656917603694
366,EPLNight_HEVC_SFR_396p_900K_0,53.577451719612355,EPLNight_0,HEVC,SFR,396p,900,0.798648157543397
367,TNFF_HEVC_HFR_720p_2200K_16,54.54018563766531,TNFF_16,HEVC,HFR,720p,2200,1.5639218439444633
368,Cricket1_AVC_SFR_396p_400K_86,48.173715945018,Cricket1_86,AVC,SFR,396p,400,-5.959609562500489
369,Cricket2_HEVC_SFR_540p_1100K_90,54.384382361733714,Cricket2_90,HEVC,SFR,540p,1100,8.546878052614886
370,TNFF_HEVC_SFR_720p_2200K_16,48.83472400433197,TNFF_16,HEVC,SFR,720p,2200,-4.1415397893888795
371,EPLDay_HEVC_HFR_396p_600K_8,47.087041976287715,EPLDay_8,HEVC,HFR,396p,600,-9.015631942235373
