,video,mos,mos_std,content,codec,fr,res,bitrate
0,USOpen_AVC_HFR_396p_600K_12,44.1,12.644761761298627,USOpen_12,AVC,HFR,396p,600
1,Cricket1_AVC_HFR_288p_300K_198,19.666666666666668,15.544202206038824,Cricket1_198,AVC,HFR,288p,300
2,EPLDay_SRC_SRC_SRC_SRC_20,88.03333333333333,11.691830005986612,EPLDay_20,SRC,SRC,SRC,100000
3,Cricket1_HEVC_HFR_396p_900K_198,35.7,17.027722494019372,Cricket1_198,HEVC,HFR,396p,900
4,TNFNFL_AVC_SFR_396p_800K_3184,34.36666666666667,13.237530820444654,TNFNFL_3184,AVC,SFR,396p,800
5,Cricket1_HEVC_SFR_720p_2200K_198,58.43333333333333,17.56261812929825,Cricket1_198,HEVC,SFR,720p,2200
6,EPLDay_HEVC_SFR_396p_600K_20,30.566666666666666,17.077633195368602,EPLDay_20,HEVC,SFR,396p,600
7,Cricket1_HEVC_HFR_540p_1100K_198,40.3,18.45923436476533,Cricket1_198,HEVC,HFR,540p,1100
8,TNFNFL_AVC_SFR_720p_2000K_3184,59.6,16.013744096868788,TNFNFL_3184,AVC,SFR,720p,2000
9,USOpen_SRC_SRC_SRC_SRC_12,73.53333333333333,17.26023046067333,USOpen_12,SRC,SRC,SRC,100000
10,EPLDay_HEVC_SFR_396p_900K_20,39.8,17.38275007011261,EPLDay_20,HEVC,SFR,396p,900
11,Cricket1_HEVC_HFR_288p_300K_198,22.3,17.7672920465294,Cricket1_198,HEVC,HFR,288p,300
12,EPLDay_AVC_SFR_288p_200K_20,6.434782608695652,7.688648249807163,EPLDay_20,AVC,SFR,288p,200
13,USOpen_HEVC_SFR_288p_300K_12,30.333333333333332,12.466844918511748,USOpen_12,HEVC,SFR,288p,300
14,TNFF_HEVC_SFR_720p_2200K_32,81.36666666666666,16.263421807506834,TNFF_32,HEVC,SFR,720p,2200
15,Cricket1_SRC_SRC_SRC_SRC_198,61.56666666666667,21.826105673914643,Cricket1_198,SRC,SRC,SRC,100000
16,TNFF_AVC_SFR_396p_800K_32,41.53333333333333,15.679569155078493,TNFF_32,AVC,SFR,396p,800
17,USOpen_AVC_HFR_720p_2200K_12,60.8,17.384667574235255,USOpen_12,AVC,HFR,720p,2200
18,TNFF_AVC_HFR_540p_1900K_32,60.766666666666666,20.28247738539079,TNFF_32,AVC,HFR,540p,1900
19,TNFNFL_AVC_SFR_540p_1800K_3184,48.86666666666667,17.783388003664793,TNFNFL_3184,AVC,SFR,540p,1800
20,TNFF_HEVC_HFR_540p_1100K_32,63.266666666666666,13.987931306030289,TNFF_32,HEVC,HFR,540p,1100
21,EPLDay_AVC_HFR_288p_300K_20,3.8666666666666667,4.978174587358525,EPLDay_20,AVC,HFR,288p,300
22,Cricket1_AVC_SFR_288p_200K_198,11.166666666666666,11.48936706505435,Cricket1_198,AVC,SFR,288p,200
23,TNFF_AVC_SFR_288p_200K_32,9.419354838709678,10.092393154438986,TNFF_32,AVC,SFR,288p,200
24,Cricket1_AVC_SFR_540p_1200K_198,45.1,16.813387523042465,Cricket1_198,AVC,SFR,540p,1200
25,TNFF_AVC_HFR_720p_2200K_32,68.96666666666667,14.914161800859684,TNFF_32,AVC,HFR,720p,2200
26,Cricket1_HEVC_SFR_396p_900K_198,39.8,14.577151070539584,Cricket1_198,HEVC,SFR,396p,900
27,TNFNFL_AVC_HFR_396p_600K_3184,24.833333333333332,14.731108429291922,TNFNFL_3184,AVC,HFR,396p,600
28,Cricket1_HEVC_SFR_288p_300K_198,27.966666666666665,16.3635434901966,Cricket1_198,HEVC,SFR,288p,300
29,TNFF_HEVC_HFR_288p_300K_32,24.733333333333334,17.126847021237996,TNFF_32,HEVC,HFR,288p,300
30,TNFNFL_HEVC_SFR_540p_1100K_3184,47.233333333333334,15.873842914961987,TNFNFL_3184,HEVC,SFR,540p,1100
31,EPLDay_AVC_HFR_540p_1900K_20,49.733333333333334,16.433569978012148,EPLDay_20,AVC,HFR,540p,1900
32,USOpen_AVC_SFR_396p_800K_12,47.766666666666666,17.097140761607545,USOpen_12,AVC,SFR,396p,800
33,TNFNFL_HEVC_SFR_288p_300K_3184,17.366666666666667,15.706651103557654,TNFNFL_3184,HEVC,SFR,288p,300
34,USOpen_AVC_SFR_288p_200K_12,26.133333333333333,13.994602133997553,USOpen_12,AVC,SFR,288p,200
35,TNFF_AVC_HFR_396p_900K_32,41.266666666666666,16.00819234711472,TNFF_32,AVC,HFR,396p,900
36,USOpen_HEVC_HFR_540p_1900K_12,62.333333333333336,19.93879523831757,USOpen_12,HEVC,HFR,540p,1900
37,TNFNFL_HEVC_HFR_396p_600K_3184,31.6,16.49363513601535,TNFNFL_3184,HEVC,HFR,396p,600
38,TNFF_AVC_SFR_720p_2000K_32,67.9,14.446106741956461,TNFF_32,AVC,SFR,720p,2000
39,EPLDay_AVC_HFR_396p_900K_20,33.733333333333334,18.711731317248248,EPLDay_20,AVC,HFR,396p,900
40,TNFF_HEVC_HFR_540p_1900K_32,69.23333333333333,13.50477281885515,TNFF_32,HEVC,HFR,540p,1900
41,EPLDay_HEVC_HFR_540p_1900K_20,56.6,18.431133081464818,EPLDay_20,HEVC,HFR,540p,1900
42,Cricket1_HEVC_SFR_396p_600K_198,40.166666666666664,14.245662107774734,Cricket1_198,HEVC,SFR,396p,600
43,USOpen_AVC_HFR_288p_300K_12,28.633333333333333,15.602314643097744,USOpen_12,AVC,HFR,288p,300
44,TNFF_AVC_SFR_540p_1200K_32,51.43333333333333,19.04500517779458,TNFF_32,AVC,SFR,540p,1200
45,USOpen_HEVC_HFR_396p_900K_12,48.4,13.65674436557508,USOpen_12,HEVC,HFR,396p,900
46,TNFNFL_AVC_SFR_540p_1200K_3184,46.93333333333333,18.651064908530618,TNFNFL_3184,AVC,SFR,540p,1200
47,USOpen_HEVC_HFR_396p_600K_12,50.2,14.45775455133565,USOpen_12,HEVC,HFR,396p,600
48,TNFF_HEVC_HFR_720p_2200K_32,73.46666666666667,16.34570959677867,TNFF_32,HEVC,HFR,720p,2200
49,USOpen_HEVC_SFR_396p_900K_12,46.4,14.62326912834473,USOpen_12,HEVC,SFR,396p,900
50,EPLDay_HEVC_SFR_720p_2200K_20,62.733333333333334,19.714518057061962,EPLDay_20,HEVC,SFR,720p,2200
51,TNFF_AVC_SFR_540p_1800K_32,60.6,16.424778029956244,TNFF_32,AVC,SFR,540p,1800
52,EPLDay_AVC_HFR_540p_1300K_20,42.1,16.92010638264429,EPLDay_20,AVC,HFR,540p,1300
53,TNFF_AVC_HFR_396p_600K_32,32.1,18.017306494960152,TNFF_32,AVC,HFR,396p,600
54,USOpen_HEVC_SFR_540p_1100K_12,56.93333333333333,18.911959766830677,USOpen_12,HEVC,SFR,540p,1100
55,TNFNFL_HEVC_HFR_540p_1900K_3184,50.1,17.80327685193562,TNFNFL_3184,HEVC,HFR,540p,1900
56,USOpen_HEVC_HFR_720p_2200K_12,68.86666666666666,15.493511186586755,USOpen_12,HEVC,HFR,720p,2200
57,EPLDay_HEVC_HFR_288p_300K_20,12.0,11.661903789690601,EPLDay_20,HEVC,HFR,288p,300
58,Cricket1_AVC_HFR_540p_1900K_198,49.56666666666667,16.3027264250152,Cricket1_198,AVC,HFR,540p,1900
59,TNFNFL_AVC_HFR_540p_1300K_3184,43.7,14.085808461000738,TNFNFL_3184,AVC,HFR,540p,1300
60,EPLDay_AVC_HFR_720p_2200K_20,52.6,19.436391983424635,EPLDay_20,AVC,HFR,720p,2200
61,TNFNFL_HEVC_HFR_720p_2200K_3184,56.666666666666664,14.736198816369015,TNFNFL_3184,HEVC,HFR,720p,2200
62,USOpen_AVC_HFR_396p_900K_12,45.53333333333333,14.910250016534114,USOpen_12,AVC,HFR,396p,900
63,EPLDay_HEVC_SFR_540p_1100K_20,46.93333333333333,13.483158218887574,EPLDay_20,HEVC,SFR,540p,1100
64,USOpen_AVC_SFR_540p_1800K_12,56.5,13.603308421115798,USOpen_12,AVC,SFR,540p,1800
65,EPLDay_AVC_SFR_720p_2000K_20,54.625,16.2193621432328,EPLDay_20,AVC,SFR,720p,2000
66,Cricket1_HEVC_HFR_396p_600K_198,30.266666666666666,13.99507850003787,Cricket1_198,HEVC,HFR,396p,600
67,USOpen_HEVC_SFR_720p_2200K_12,67.33333333333333,17.05546507395471,USOpen_12,HEVC,SFR,720p,2200
68,TNFNFL_AVC_HFR_540p_1900K_3184,49.2,16.418282492392436,TNFNFL_3184,AVC,HFR,540p,1900
69,EPLDay_AVC_SFR_396p_800K_20,32.77272727272727,15.329507547631547,EPLDay_20,AVC,SFR,396p,800
70,USOpen_HEVC_SFR_540p_1900K_12,61.166666666666664,14.116381343043344,USOpen_12,HEVC,SFR,540p,1900
71,TNFNFL_HEVC_SFR_396p_600K_3184,34.53333333333333,18.346177319055386,TNFNFL_3184,HEVC,SFR,396p,600
72,EPLDay_AVC_SFR_540p_1800K_20,49.96666666666667,18.10429660482714,EPLDay_20,AVC,SFR,540p,1800
73,TNFNFL_HEVC_HFR_288p_300K_3184,9.633333333333333,9.928018712490198,TNFNFL_3184,HEVC,HFR,288p,300
74,USOpen_HEVC_SFR_396p_600K_12,47.733333333333334,15.064159083363695,USOpen_12,HEVC,SFR,396p,600
75,Cricket1_AVC_HFR_396p_600K_198,30.533333333333335,12.571749635149791,Cricket1_198,AVC,HFR,396p,600
76,TNFNFL_AVC_HFR_720p_2200K_3184,57.166666666666664,15.63134315690398,TNFNFL_3184,AVC,HFR,720p,2200
77,Cricket1_HEVC_SFR_540p_1100K_198,48.36666666666667,14.323601347271419,Cricket1_198,HEVC,SFR,540p,1100
78,TNFNFL_AVC_HFR_396p_900K_3184,36.2,14.837789592793126,TNFNFL_3184,AVC,HFR,396p,900
79,TNFF_HEVC_HFR_396p_900K_32,46.43333333333333,13.737256721129667,TNFF_32,HEVC,HFR,396p,900
80,TNFNFL_HEVC_SFR_540p_1900K_3184,51.333333333333336,17.991355949146495,TNFNFL_3184,HEVC,SFR,540p,1900
81,EPLDay_AVC_SFR_396p_400K_20,21.954545454545453,11.439474212040247,EPLDay_20,AVC,SFR,396p,400
82,Cricket1_HEVC_HFR_720p_2200K_198,52.56666666666667,19.810238654684493,Cricket1_198,HEVC,HFR,720p,2200
83,EPLDay_HEVC_SFR_288p_300K_20,14.566666666666666,10.886331899323215,EPLDay_20,HEVC,SFR,288p,300
84,TNFF_SRC_SRC_SRC_SRC_32,88.7,10.491742785003199,TNFF_32,SRC,SRC,SRC,100000
85,Cricket1_HEVC_HFR_540p_1900K_198,47.766666666666666,17.2175943602919,Cricket1_198,HEVC,HFR,540p,1900
86,TNFNFL_HEVC_HFR_540p_1100K_3184,43.333333333333336,19.608388227717466,TNFNFL_3184,HEVC,HFR,540p,1100
87,Cricket1_AVC_HFR_720p_2200K_198,52.233333333333334,16.65269414305752,Cricket1_198,AVC,HFR,720p,2200
88,TNFF_HEVC_SFR_540p_1100K_32,65.8,13.898201322473351,TNFF_32,HEVC,SFR,540p,1100
89,USOpen_HEVC_HFR_540p_1100K_12,57.96666666666667,16.531753956821667,USOpen_12,HEVC,HFR,540p,1100
90,TNFF_HEVC_SFR_288p_300K_32,30.466666666666665,15.959810636581988,TNFF_32,HEVC,SFR,288p,300
91,TNFNFL_HEVC_HFR_396p_900K_3184,34.86666666666667,15.549347967751645,TNFNFL_3184,HEVC,HFR,396p,900
92,EPLDay_AVC_HFR_396p_600K_20,19.666666666666668,15.062831370260005,EPLDay_20,AVC,HFR,396p,600
93,USOpen_AVC_SFR_396p_400K_12,42.63333333333333,12.916354834945587,USOpen_12,AVC,SFR,396p,400
94,EPLDay_HEVC_HFR_720p_2200K_20,65.66666666666667,15.087154212184027,EPLDay_20,HEVC,HFR,720p,2200
95,TNFF_HEVC_SFR_540p_1900K_32,74.6,14.015705476357587,TNFF_32,HEVC,SFR,540p,1900
96,EPLDay_HEVC_HFR_396p_600K_20,33.06666666666667,15.842839251711025,EPLDay_20,HEVC,HFR,396p,600
97,Cricket1_AVC_SFR_396p_800K_198,36.96666666666667,17.786667916041935,Cricket1_198,AVC,SFR,396p,800
98,USOpen_AVC_HFR_540p_1900K_12,56.5,11.856784274554942,USOpen_12,AVC,HFR,540p,1900
99,Cricket1_AVC_HFR_540p_1300K_198,43.333333333333336,16.729880121772805,Cricket1_198,AVC,HFR,540p,1300
100,TNFNFL_HEVC_SFR_396p_900K_3184,38.06666666666667,16.719117467405056,TNFNFL_3184,HEVC,SFR,396p,900
101,Cricket1_AVC_SFR_720p_2000K_198,50.06666666666667,18.016535614694504,Cricket1_198,AVC,SFR,720p,2000
102,TNFF_AVC_HFR_540p_1300K_32,55.4,16.422748450447223,TNFF_32,AVC,HFR,540p,1300
103,USOpen_AVC_SFR_720p_2000K_12,65.66666666666667,16.986923074987875,USOpen_12,AVC,SFR,720p,2000
104,EPLDay_AVC_SFR_540p_1200K_20,43.766666666666666,16.954219402719655,EPLDay_20,AVC,SFR,540p,1200
105,Cricket1_AVC_SFR_540p_1800K_198,48.6,19.371112513224425,Cricket1_198,AVC,SFR,540p,1800
106,TNFNFL_AVC_SFR_396p_400K_3184,20.9,14.783662153426894,TNFNFL_3184,AVC,SFR,396p,400
107,USOpen_HEVC_HFR_288p_300K_12,31.433333333333334,15.641149432044804,USOpen_12,HEVC,HFR,288p,300
108,TNFF_HEVC_SFR_396p_600K_32,44.56666666666667,15.045892758121363,TNFF_32,HEVC,SFR,396p,600
109,TNFNFL_AVC_SFR_288p_200K_3184,5.8,7.4359487177718835,TNFNFL_3184,AVC,SFR,288p,200
110,Cricket1_HEVC_SFR_540p_1900K_198,53.13333333333333,18.31344375649272,Cricket1_198,HEVC,SFR,540p,1900
111,TNFNFL_SRC_SRC_SRC_SRC_3184,64.03333333333333,17.392495188698167,TNFNFL_3184,SRC,SRC,SRC,100000
112,Cricket1_AVC_HFR_396p_900K_198,37.233333333333334,17.484628169401322,Cricket1_198,AVC,HFR,396p,900
113,EPLDay_HEVC_HFR_540p_1100K_20,47.6,15.911421474316281,EPLDay_20,HEVC,HFR,540p,1100
114,TNFF_HEVC_HFR_396p_600K_32,45.96666666666667,17.809142471089267,TNFF_32,HEVC,HFR,396p,600
115,EPLDay_HEVC_HFR_396p_900K_20,40.666666666666664,17.63015094156094,EPLDay_20,HEVC,HFR,396p,900
116,TNFF_AVC_HFR_288p_300K_32,22.166666666666668,13.930980662617483,TNFF_32,AVC,HFR,288p,300
117,TNFNFL_HEVC_SFR_720p_2200K_3184,62.833333333333336,15.440387156919206,TNFNFL_3184,HEVC,SFR,720p,2200
118,TNFF_AVC_SFR_396p_400K_32,29.9,17.52017884231399,TNFF_32,AVC,SFR,396p,400
119,EPLDay_HEVC_SFR_540p_1900K_20,56.36666666666667,15.909081962479448,EPLDay_20,HEVC,SFR,540p,1900
120,USOpen_AVC_SFR_540p_1200K_12,54.7,17.91675193778158,USOpen_12,AVC,SFR,540p,1200
121,TNFF_HEVC_SFR_396p_900K_32,50.766666666666666,17.993856976448626,TNFF_32,HEVC,SFR,396p,900
122,Cricket1_AVC_SFR_396p_400K_198,23.533333333333335,14.923657579680512,Cricket1_198,AVC,SFR,396p,400
123,TNFNFL_AVC_HFR_288p_300K_3184,14.266666666666667,19.570272240200328,TNFNFL_3184,AVC,HFR,288p,300
124,USOpen_AVC_HFR_540p_1300K_12,56.36666666666667,16.947926782418616,USOpen_12,AVC,HFR,540p,1300
125,USOpen_AVC_HFR_396p_600K_176,36.32142857142857,13.33109568808573,USOpen_176,AVC,HFR,396p,600
126,EPLDay_HEVC_HFR_288p_300K_48,17.464285714285715,12.385135511275324,EPLDay_48,HEVC,HFR,288p,300
127,EPLNight_SRC_SRC_SRC_SRC_20,92.89285714285714,11.2578204110815,EPLNight_20,SRC,SRC,SRC,100000
128,EPLDay_AVC_SFR_288p_200K_48,14.181818181818182,17.491910763228823,EPLDay_48,AVC,SFR,288p,200
129,Cricket2_AVC_SFR_396p_800K_120,34.5,12.50571298018858,Cricket2_120,AVC,SFR,396p,800
130,EPLDay_HEVC_SFR_720p_2200K_48,63.92857142857143,17.75815420634494,EPLDay_48,HEVC,SFR,720p,2200
131,EPLNight_HEVC_SFR_540p_1100K_20,50.857142857142854,16.24525048330453,EPLNight_20,HEVC,SFR,540p,1100
132,EPLDay_AVC_SFR_396p_400K_48,27.17391304347826,12.171428317859263,EPLDay_48,AVC,SFR,396p,400
133,Cricket2_HEVC_HFR_540p_1100K_120,46.17857142857143,15.995654703317246,Cricket2_120,HEVC,HFR,540p,1100
134,USOpen_SRC_SRC_SRC_SRC_176,81.77777777777777,12.916636798053876,USOpen_176,SRC,SRC,SRC,100000
135,EPLNight_HEVC_SFR_396p_600K_20,33.07142857142857,17.336848806245392,EPLNight_20,HEVC,SFR,396p,600
136,EPLDay_AVC_HFR_288p_300K_48,19.821428571428573,13.112299491667496,EPLDay_48,AVC,HFR,288p,300
137,EPLNight_AVC_SFR_396p_400K_20,27.714285714285715,13.765529264011878,EPLNight_20,AVC,SFR,396p,400
138,USOpen_HEVC_SFR_288p_300K_176,22.892857142857142,17.03848435100939,USOpen_176,HEVC,SFR,288p,300
139,TNFF_HEVC_SFR_720p_2200K_304,71.46428571428571,12.231347732238618,TNFF_304,HEVC,SFR,720p,2200
140,EPLDay_SRC_SRC_SRC_SRC_48,88.35714285714286,12.250989131244774,EPLDay_48,SRC,SRC,SRC,100000
141,TNFF_AVC_SFR_396p_800K_304,37.714285714285715,18.06309802343113,TNFF_304,AVC,SFR,396p,800
142,USOpen_AVC_HFR_720p_2200K_176,70.82142857142857,13.817828988635794,USOpen_176,AVC,HFR,720p,2200
143,TNFF_AVC_HFR_540p_1900K_304,56.214285714285715,16.90383967974044,TNFF_304,AVC,HFR,540p,1900
144,Cricket2_HEVC_HFR_396p_600K_120,31.964285714285715,15.001147915260024,Cricket2_120,HEVC,HFR,396p,600
145,TNFF_HEVC_HFR_540p_1100K_304,48.25,14.54211863126258,TNFF_304,HEVC,HFR,540p,1100
146,EPLNight_AVC_HFR_396p_600K_20,31.785714285714285,15.117060236834464,EPLNight_20,AVC,HFR,396p,600
147,EPLDay_HEVC_HFR_540p_1900K_48,55.67857142857143,15.910584014217372,EPLDay_48,HEVC,HFR,540p,1900
148,TNFF_AVC_SFR_288p_200K_304,4.964285714285714,7.2922764565235285,TNFF_304,AVC,SFR,288p,200
149,EPLDay_HEVC_SFR_396p_900K_48,38.392857142857146,16.27298217843281,EPLDay_48,HEVC,SFR,396p,900
150,TNFF_AVC_HFR_720p_2200K_304,63.714285714285715,17.862284973927494,TNFF_304,AVC,HFR,720p,2200
151,EPLDay_AVC_SFR_540p_1200K_48,47.82142857142857,17.5439317376786,EPLDay_48,AVC,SFR,540p,1200
152,Cricket2_AVC_HFR_396p_600K_120,25.607142857142858,11.742290132296187,Cricket2_120,AVC,HFR,396p,600
153,EPLDay_AVC_HFR_540p_1900K_48,56.964285714285715,15.509172730210667,EPLDay_48,AVC,HFR,540p,1900
154,TNFF_HEVC_HFR_288p_300K_304,9.035714285714286,9.574826156038936,TNFF_304,HEVC,HFR,288p,300
155,Cricket2_HEVC_SFR_396p_900K_120,41.607142857142854,14.226080892186028,Cricket2_120,HEVC,SFR,396p,900
156,EPLNight_AVC_HFR_540p_1900K_20,56.214285714285715,19.797830225372,EPLNight_20,AVC,HFR,540p,1900
157,USOpen_AVC_SFR_396p_800K_176,42.464285714285715,16.249136554768384,USOpen_176,AVC,SFR,396p,800
158,Cricket2_HEVC_HFR_396p_900K_120,38.57142857142857,17.013500041833527,Cricket2_120,HEVC,HFR,396p,900
159,USOpen_AVC_SFR_288p_200K_176,11.178571428571429,11.470625750238773,USOpen_176,AVC,SFR,288p,200
160,TNFF_AVC_HFR_396p_900K_304,39.857142857142854,14.6621823695088,TNFF_304,AVC,HFR,396p,900
161,USOpen_HEVC_HFR_540p_1900K_176,59.357142857142854,19.194891965078114,USOpen_176,HEVC,HFR,540p,1900
162,Cricket2_AVC_SFR_540p_1800K_120,42.32142857142857,18.051619577970147,Cricket2_120,AVC,SFR,540p,1800
163,TNFF_AVC_SFR_720p_2000K_304,62.785714285714285,14.760848656538164,TNFF_304,AVC,SFR,720p,2000
164,EPLNight_AVC_SFR_288p_200K_20,8.964285714285714,12.164004694346415,EPLNight_20,AVC,SFR,288p,200
165,TNFF_HEVC_HFR_540p_1900K_304,59.642857142857146,15.714448051109539,TNFF_304,HEVC,HFR,540p,1900
166,EPLNight_HEVC_HFR_396p_600K_20,30.928571428571427,14.347544766137743,EPLNight_20,HEVC,HFR,396p,600
167,EPLDay_AVC_HFR_720p_2200K_48,67.53571428571429,15.469975858456422,EPLDay_48,AVC,HFR,720p,2200
168,USOpen_AVC_HFR_288p_300K_176,15.571428571428571,14.064719212647375,USOpen_176,AVC,HFR,288p,300
169,TNFF_AVC_SFR_540p_1200K_304,47.25,14.654655525512313,TNFF_304,AVC,SFR,540p,1200
170,USOpen_HEVC_HFR_396p_900K_176,42.32142857142857,16.97277982836167,USOpen_176,HEVC,HFR,396p,900
171,Cricket2_AVC_HFR_720p_2200K_120,48.5,17.913482552057186,Cricket2_120,AVC,HFR,720p,2200
172,USOpen_HEVC_HFR_396p_600K_176,36.607142857142854,12.251353527888504,USOpen_176,HEVC,HFR,396p,600
173,TNFF_HEVC_HFR_720p_2200K_304,69.75,11.682175066558209,TNFF_304,HEVC,HFR,720p,2200
174,USOpen_HEVC_SFR_396p_900K_176,37.642857142857146,14.147726434494912,USOpen_176,HEVC,SFR,396p,900
175,EPLNight_HEVC_SFR_540p_1900K_20,54.142857142857146,14.872588125508633,EPLNight_20,HEVC,SFR,540p,1900
176,TNFF_AVC_SFR_540p_1800K_304,57.82142857142857,18.394590764345782,TNFF_304,AVC,SFR,540p,1800
177,EPLNight_AVC_HFR_540p_1300K_20,51.5,18.45554504362152,EPLNight_20,AVC,HFR,540p,1300
178,TNFF_AVC_HFR_396p_600K_304,28.178571428571427,14.69706863733759,TNFF_304,AVC,HFR,396p,600
179,USOpen_HEVC_SFR_540p_1100K_176,50.92857142857143,16.17522040350736,USOpen_176,HEVC,SFR,540p,1100
180,Cricket2_HEVC_HFR_540p_1900K_120,49.57142857142857,19.002685094910312,Cricket2_120,HEVC,HFR,540p,1900
181,USOpen_HEVC_HFR_720p_2200K_176,72.46428571428571,15.058177993694853,USOpen_176,HEVC,HFR,720p,2200
182,EPLNight_HEVC_HFR_288p_300K_20,13.571428571428571,11.393696789480236,EPLNight_20,HEVC,HFR,288p,300
183,EPLDay_AVC_HFR_396p_900K_48,40.92857142857143,15.777308686457113,EPLDay_48,AVC,HFR,396p,900
184,Cricket2_AVC_SFR_396p_400K_120,28.285714285714285,12.217835741410244,Cricket2_120,AVC,SFR,396p,400
